run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community	community_size	rank_betweenness	rank_outdegree	rank_local_betweenness	rank_local_outdegree
3	407	Elf3	0.11822660098522167	0.0007297938332421091	0.1354679802955665	0.002979991485738612	2	106	112.0	73.0	24.0	18.0
3	407	Tcf15	0.15270935960591134	0.002396156419144925	0.20935960591133004	0.010156297512619351	0	175	32.0	29.0	28.0	13.0
3	392	Sox1	0.11508951406649617	0.0015017378188733688	0.12020460358056267	0.002846088268083153	1	134	114.0	73.0	22.0	22.0
3	392	Zic5	0.24552429667519182	0.0027805101973899927	0.31457800511508954	0.006334841628959276	1	134	68.0	4.0	8.0	1.0
3	392	Ascl2	0.11253196930946292	0.002196865368220867	0.11253196930946292	0.007725096727654273	2	100	53.0	82.0	3.0	15.0
3	392	Hand1	0.10741687979539642	0.0007738212341792904	0.14066496163682865	0.008984195684962948	2	100	45.0	51.0	25.0	19.0
3	392	Elf3	0.11253196930946292	0.000629549478654338	0.1278772378516624	0.004800314774739327	2	100	86.0	61.0	32.0	15.0
3	392	Tcf15	0.12020460358056267	0.0031084005508557936	0.1636828644501279	0.008308741556823398	0	158	48.0	36.0	17.0	12.0
3	377	Sox1	0.09574468085106383	0.0009219858156028368	0.10106382978723404	0.002723404255319149	1	132	117.0	79.0	38.0	26.0
3	377	Zic5	0.24202127659574468	0.004063829787234042	0.2952127659574468	0.011390070921985816	1	132	25.0	3.0	6.0	1.0
3	377	Ascl2	0.10638297872340426	0.00250354609929078	0.10638297872340426	0.009709219858156029	2	96	38.0	74.0	3.0	11.0
3	377	Hand1	0.10106382978723404	0.0016028368794326242	0.13297872340425532	0.017099290780141843	2	96	7.0	44.0	8.0	17.0
3	377	Elf3	0.09042553191489361	0.0009574468085106384	0.10372340425531915	0.006822695035460993	2	96	69.0	77.0	23.0	26.0
3	377	Tcf15	0.10372340425531915	0.003099290780141844	0.14361702127659573	0.008035460992907802	0	149	57.0	36.0	15.0	15.0
3	362	Sox1	0.09141274238227147	0.002554632194521391	0.09418282548476455	0.00471683594952293	0	152	87.0	76.0	22.0	27.0
3	362	Zic5	0.22714681440443213	0.0034010464758387196	0.25761772853185594	0.007394582948599569	0	152	61.0	4.0	13.0	1.0
