treatment	run	threshold	component	nodes	edges	sigma	dominating_size	alpha	xmin	exp_r	exp_p	logn_r	logn_p
Ngn2n	3	0.2884210526315789	positive	468	3537	2.0749287411205373	261	1.9963117439940337	10.0	-26.29617275551599	3.4014540013781274e-05	-22.17869850547282	1.5615990233585338e-05	
Ngn2n	3	0.31263157894736837	positive	392	2587	2.261816741256548	222	1.9819505826968822	8.0	-20.99779407244636	0.0010344070865403654	-17.423176963228862	0.00015216071916047987	
Ngn2n	3	0.3368421052631579	positive	339	1969	2.235435740688152	199	1.590435912503168	2.0	-19.154355006273946	0.12990894156907792	-34.51982075155947	6.108842754085258e-08	
Ngn2n	3	0.36105263157894735	positive	290	1513	2.072092820072123	172	1.711131644304634	3.0	-20.08788401596712	0.0248482400837623	-21.818883430529805	2.0078194971272942e-05	
Ngn2n	3	0.3852631578947368	positive	233	1138	2.309018544943286	134	5.426023160906888	30.0	-0.9044465053083734	0.11447505438350448	-1.1726020990894592	0.34649195125416843	
Ngn2n	3	0.4094736842105263	positive	205	909	2.0246851674759996	112	8.360022097289672	35.0	-0.1499422229951346	0.49992927347013627	-0.1821056461594781	0.6930808670358319	
Ngn2n	3	0.4336842105263158	positive	176	722	2.1631303657905083	93	4.15360106371557	20.0	-1.5312768257871339	0.041791298184385865	-1.8306121156280257	0.21642526822212682	
Ngn2n	3	0.45789473684210524	positive	148	553	2.004098871153971	80	4.594789626842857	18.0	-0.5170798427603422	0.47634591340040333	-0.388600803801352	0.5452039932193931	
Ngn2n	3	0.4821052631578947	positive	127	431	1.8303938723279338	72	3.1893340865813515	11.0	-2.7422446670580443	0.026103480091929355	-2.792332193939485	0.15337621209896213	
Ngn2n	3	0.5063157894736842	positive	111	335	1.927308406922611	61	9.250202692510783	22.0	-0.06228575537444159	0.6428283873158052	-0.06882391424520362	0.7918345635745004	
Ngn2n	3	0.5305263157894736	positive	98	264	2.027366110147441	54	6.360743393330319	17.0	-0.05660791026490353	0.8250394835971884	-0.04105085909620354	0.8320039417516379	
Ngn2n	3	0.5547368421052631	positive	80	199	1.9846612498303702	47	3.1710501202847836	7.0	-0.8927958885334735	0.47409860377427415	-0.6690325528442451	0.46365686686896257	
Ngn2n	3	0.5789473684210527	positive	68	154	2.215097636625748	39	2.4596553329790627	4.0	-3.1110997770253364	0.0766517165715659	-2.5871481132751373	0.12108411550682334	
Ngn2n	3	0.6031578947368421	positive	56	121	2.190786214705258	30	2.608459147750842	4.0	-2.5457540219416934	0.0683373237519007	-2.1622716333481025	0.138448175264637	
Ngn2n	3	0.6273684210526316	positive	50	100	1.3594771241830066	27	14.240857776483972	11.0	-0.056947922352641234	0.6356528222528561	-0.3967459967034206	0.37346607912505947	
Ngn2n	3	0.651578947368421	positive	27	48	2.6114130434782608	14	8.841874608314527	7.0	-0.18187166958861878	0.02125403786649646	-1.0047004550945609	0.23675954814147138	
Ngn2n	3	0.6757894736842105	positive	25	41	2.7153488372093024	12	2.8663951867227686	3.0	-1.4272785363465097	0.07158616312264061	-1.3828957970388895	0.24847794672583223	
Ngn2n	4	0.24	positive	500	4034	2.1315486019703185	293	7.8130698231696485	68.0	-0.8248154418439881	0.030805683996583733	-1.5755502974519113	0.2517174596405525	
Ngn2n	4	0.26421052631578945	positive	413	2846	2.292132637234433	226	1.9924087985791483	8.0	-19.346855815594775	0.004857897934259467	-17.055440029417852	0.0001988107987659042	
Ngn2n	4	0.2884210526315789	positive	344	2012	2.3420936120262326	186	1.8811654565752325	5.0	-15.195560014884197	0.052130888073913695	-16.150395063057587	0.00020871239785656372	
Ngn2n	4	0.31263157894736837	positive	287	1466	2.0957132404058614	150	1.765458684144852	3.0	-6.471449328286796	0.4835109069925907	-15.240124592158828	0.00027409335844031556	
Ngn2n	4	0.3368421052631579	positive	240	1090	1.9992204641390832	138	7.310285936798514	32.0	-0.3281382119797951	0.37380714226797374	-0.3502275706936029	0.5528149840577603	
Ngn2n	4	0.36105263157894735	positive	191	771	2.0839755490273366	105	5.854318654760396	25.0	-0.5291660898365376	0.25222969113089944	-0.5945476073967801	0.46763946758765385	
Ngn2n	4	0.3852631578947368	positive	163	589	2.307526727416231	92	7.001395200988563	25.0	-0.03596698158616274	0.9044783646826436	-0.035464589670490154	0.8369249275759123	
Ngn2n	4	0.4094736842105263	positive	121	437	2.2370949636430653	61	5.333725128898867	19.0	-0.6055800670974276	0.15494449064062607	-0.8222780457896866	0.4205373996207541	
Ngn2n	4	0.4336842105263158	positive	102	325	2.0550912561323806	57	3.4392590726992056	10.0	-1.563791633219508	0.17889441909389736	-1.3516405469174	0.31650540015769135	
Ngn2n	4	0.45789473684210524	positive	84	244	2.0474844460397224	44	6.863456580633412	15.0	-0.08315112204540753	0.7713908181277149	-0.058030113799180105	0.7831690074128289	
Ngn2n	4	0.4821052631578947	positive	71	189	1.8893782383419688	36	3.535033882226336	8.0	-1.0713142476127162	0.1970518108307424	-0.9633584183601533	0.3463788656860405	
Ngn2n	4	0.5063157894736842	positive	66	149	2.4157725545860647	36	4.771691304124806	9.0	-0.2248375670843472	0.6126641239022735	-0.1701454175161743	0.6599039369076882	
Ngn2n	4	0.5305263157894736	positive	57	115	1.9577742699289662	32	3.15859230462705	5.0	-0.433259514055953	0.6734639639432121	-0.44831900636811817	0.4588390918098685	
Ngn2n	4	0.5547368421052631	positive	48	88	1.4787059787059789	23	3.6921312057611524	5.0	-0.5577807839569104	0.3866651895859722	-0.4768309652349292	0.4454408447027579	
Ngn2n	4	0.5789473684210527	positive	30	42	2.511184755592378	15	2.514442220017389	2.0	-1.04114367149116	0.36125200953158676	-1.0018156633719242	0.1788361674165161	
Ngn2n	4	0.6031578947368421	positive	20	30	1.525557011795544	10	2.539383853718327	2.0	-0.5624198049714573	0.5923630277718817	-0.559298343686998	0.24889301214238646	
Ngn2n	5	0.24	positive	627	6335	1.8385717396085555	385	6.0720977981923845	86.0	-0.791609968537867	0.23408603745350642	-0.7602678999296648	0.41151305244654335	
Ngn2n	5	0.26421052631578945	positive	540	4604	2.058171836769271	316	2.300620381449573	18.0	-17.52708384641079	0.00037717952117527265	-14.178444358082036	0.0006709638990797266	
Ngn2n	5	0.2884210526315789	positive	455	3377	2.1317279775486817	272	2.0388011612810626	10.0	-23.038437686372642	0.0002318138414740655	-19.71165692563136	4.7247073353099355e-05	
Ngn2n	5	0.31263157894736837	positive	379	2460	2.173487440870631	212	2.038006489295803	9.0	-20.361899668498765	0.0003292064601158543	-16.686434920391047	0.0002630682999516516	
Ngn2n	5	0.3368421052631579	positive	335	1849	2.2328676855974874	192	1.9319545622537313	6.0	-17.448651773541307	0.0078479154758598	-15.230281784639665	0.000537955681284432	
Ngn2n	5	0.36105263157894735	positive	275	1384	2.343651298513276	154	4.548613741612503	29.0	-2.0132251731429505	0.010813079104253909	-2.8723729836948566	0.14696973955524534	
Ngn2n	5	0.3852631578947368	positive	226	1049	2.2478160371738345	117	1.6167645725198287	2.0	-20.460075262398355	0.029385683266595124	-22.998982831803374	1.4359013577822729e-05	
Ngn2n	5	0.4094736842105263	positive	196	827	2.467836850581633	98	9.586077681625296	32.0	0.03311805175444049	0.888226902424468	-0.017393690771673187	0.4913983503428354	
Ngn2n	5	0.4336842105263158	positive	174	657	2.120489751398886	90	5.558992918545968	21.0	-0.4030872498936924	0.4659631311805026	-0.364599576591607	0.5272110079395109	
Ngn2n	5	0.45789473684210524	positive	137	496	2.032336197938769	75	4.451240011110542	17.0	-1.3515257140850343	0.020367247037465234	-1.9515734021201192	0.18553538258536917	
