run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community	community_size	rank_betweenness	rank_outdegree	rank_local_betweenness	rank_local_outdegree
2	243	Pax6	0.049586776859504134	0.001748911217036453	0.07851239669421488	0.01711189602551353	1	38	49.0	3.0	3.0	2.0
2	243	Irx3	0.028925619834710745	0.002794828709577861	0.049586776859504134	0.12418984259799047	3	31	3.0	14.0	3.0	2.0
2	243	Rfx4	0.012396694214876033	1.7146188402318165e-05	0.024793388429752067	0.06505263879839512	3	31	9.0	40.0	21.0	10.0
2	243	Otx2	0.05371900826446281	0.005006687013476905	0.06198347107438017	0.037635883543088375	0	60	23.0	7.0	2.0	6.0
2	243	Dbx1	0.01652892561983471	0.00598401975240904	0.01652892561983471	0.0645553993347279	3	31	12.0	65.0	2.0	7.0
2	221	Pou3f4	0.022727272727272728	0.0012245745122457451	0.02727272727272727	0.015504358655043588	2	31	47.0	32.0	9.0	10.0
2	221	Pax6	0.049999999999999996	0.0028227480282274806	0.06818181818181818	0.043586550435865505	1	38	17.0	6.0	2.0	2.0
2	221	Irx3	0.022727272727272728	0.0011415525114155253	0.045454545454545456	0.0701120797011208	4	26	10.0	13.0	6.0	4.0
2	221	Rfx4	0.013636363636363636	0.0007887090078870901	0.022727272727272728	0.02853881278538813	4	26	27.0	38.0	8.0	7.0
2	221	Otx2	0.049999999999999996	0.005479452054794521	0.05909090909090909	0.08727687837276879	0	62	6.0	7.0	2.0	6.0
2	221	Dbx1	0.00909090909090909	0.0020547945205479454	0.013636363636363636	0.07727272727272727	4	26	7.0	62.0	3.0	14.0
2	199	Pou3f4	0.025252525252525256	0.0023073373327180437	0.030303030303030304	0.03725067938265908	2	31	18.0	21.0	1.0	6.0
2	199	Pax6	0.04040404040404041	0.003153361021381326	0.05555555555555556	0.06273393836845614	1	36	12.0	6.0	2.0	2.0
2	199	Irx3	0.025252525252525256	0.00171768445880121	0.03535353535353536	0.09813874788494079	3	25	6.0	17.0	5.0	4.0
2	199	Rfx4	0.015151515151515152	0.0009742090960365073	0.015151515151515152	0.03263600471722299	3	25	24.0	51.0	7.0	6.0
2	199	Otx2	0.04040404040404041	0.004871045480182536	0.05050505050505051	0.03735322770855766	0	51	17.0	7.0	3.0	6.0
2	199	Dbx1	0.010101010101010102	0.002845716043685587	0.015151515151515152	0.043454853099523155	3	25	14.0	51.0	2.0	12.0
2	167	Pou3f4	0.01807228915662651	0.0029937933552391383	0.01807228915662651	0.019934282584884996	1	28	29.0	42.0	1.0	10.0
2	167	Pax6	0.024096385542168676	0.0011683096020445418	0.03614457831325302	0.012522818546914932	2	26	39.0	15.0	5.0	4.0
2	167	Irx3	0.03614457831325302	0.001022270901788974	0.042168674698795185	0.1230741146403797	6	13	6.0	10.0	1.0	1.0
2	167	Rfx4	0.006024096385542169	0.0	0.01807228915662651	0.05049288061336254	6	13	12.0	42.0	13.0	9.0
2	167	Otx2	0.03614457831325302	0.0059875867104782765	0.03614457831325302	0.023475721066082512	0	42	25.0	15.0	4.0	6.0
2	167	Dbx1	0.01807228915662651	0.002738225629791895	0.01807228915662651	0.048156261409273454	3	18	15.0	42.0	1.0	3.0
2	140	Pou3f4	0.02158273381294964	0.005161088520487957	0.02158273381294964	0.021791262642060265	1	25	9.0	31.0	1.0	6.0
2	140	Pax6	0.02877697841726619	0.001146908560108435	0.03597122302158273	0.028516317380877905	2	17	7.0	14.0	4.0	3.0
2	140	Irx3	0.03597122302158273	0.001199040767386091	0.05035971223021583	0.06761547283912	6	9	3.0	7.0	1.0	1.0
2	140	Rfx4	0.007194244604316547	0.0	0.02158273381294964	0.06834532374100719	6	9	2.0	31.0	9.0	7.0
2	140	Otx2	0.03597122302158273	0.004066312167657179	0.03597122302158273	0.004326973204045459	0	37	36.0	14.0	5.0	6.0
2	140	Dbx1	0.014388489208633094	0.000781983109164842	0.014388489208633094	0.0032843290584923363	4	16	42.0	50.0	2.0	5.0
2	123	Pou3f4	0.00819672131147541	0.006299959355100936	0.00819672131147541	0.022219211488958137	1	25	9.0	78.0	2.0	18.0
2	123	Pax6	0.03278688524590164	0.0014225714672808564	0.03278688524590164	0.026080476900149033	3	15	8.0	16.0	4.0	2.0
2	123	Irx3	0.03278688524590164	0.002709659937677822	0.04918032786885246	0.04511583796233573	2	21	3.0	9.0	3.0	3.0
