treatment	run	threshold	component	nodes	edges	sigma	dominating_size	alpha	xmin	exp_r	exp_p	logn_r	logn_p
Ascl1p	2	0.28526315789473683	positive	472	7647	1.7330500087847895	179	3.4410709359089884	55.0	-6.67012313856498	0.002229141061484689	-6.134004971392453	0.03206782675787481	
Ascl1p	2	0.3078947368421053	positive	454	6003	1.8441495560891603	191	5.938561613388955	83.0	-1.0689587788452983	0.07717438226510596	-1.362530599681837	0.29714844713409094	
Ascl1p	2	0.33052631578947367	positive	428	4657	1.9009412452031924	192	3.141213957979644	35.0	-7.048013758428942	0.0020996441395020886	-6.502877746214272	0.01845653435776778	
Ascl1p	2	0.3531578947368421	positive	406	3645	2.0657349329782937	190	3.1516716126648205	31.0	-6.149395887746423	0.0036860771207549146	-5.697183876437057	0.031109544067310955	
Ascl1p	2	0.37578947368421056	positive	390	2825	2.0537689104848256	183	2.874415863954172	23.0	-7.573020625488336	0.0016019087949320932	-7.065106590008023	0.01766131940561706	
Ascl1p	2	0.39842105263157895	positive	365	2211	2.144280942308197	180	2.719791104310871	18.0	-7.851504476300101	0.00271154677084143	-6.976851752393534	0.019001736551173272	
Ascl1p	2	0.42105263157894735	positive	338	1729	2.152733107245743	165	2.304142143098534	10.0	-12.528508823021177	0.0013896756996009854	-10.957813781500938	0.0031055754629281305	
Ascl1p	2	0.4436842105263158	positive	307	1346	1.9944069884029554	159	2.2379286493256627	8.0	-11.503651207342543	0.004012177138848783	-10.15314704472459	0.0035141176210103354	
Ascl1p	2	0.46631578947368424	positive	268	1060	2.1754050955561945	141	1.6788436400472955	2.0	-20.008874142624926	0.037956740670606386	-25.091771743946	4.137783402208367e-06	
Ascl1p	2	0.48894736842105263	positive	230	817	1.9633755138507256	121	1.721502312658525	2.0	-12.826598841047257	0.14276995544984603	-17.72069941329227	0.00010375584959567392	
Ascl1p	2	0.5115789473684211	positive	198	637	1.7389248071845833	102	2.9011225829588057	10.0	-3.1993055645185606	0.08530410706557238	-2.764538036165268	0.1276936524910968	
Ascl1p	2	0.5342105263157895	positive	150	479	1.9857588660569596	76	2.839419072350851	8.0	-2.1303060358134527	0.3120258597834773	-1.9037087999664073	0.21032427897841588	
Ascl1p	2	0.5568421052631579	positive	136	361	1.8990036785335744	73	3.6841227674327914	11.0	-0.648937214390148	0.5027740696848157	-0.5260907662600767	0.4929438469506552	
Ascl1p	2	0.5794736842105264	positive	118	287	1.787246818968753	68	3.516241850172982	9.0	-0.8592523890529333	0.38931898429977185	-0.7006239695141754	0.4337781255373123	
Ascl1p	2	0.6021052631578947	positive	107	227	2.05486398884011	64	3.522012233531421	7.0	-0.19526936341880852	0.8585178525291552	-0.2660470930768273	0.5740414195352619	
Ascl1p	2	0.6247368421052633	positive	90	177	1.9002339846961362	51	2.988841055770032	5.0	-0.9972784359379574	0.4521194256165505	-0.8532579225246284	0.35545207625921227	
Ascl1p	2	0.6473684210526316	positive	75	135	6.4900546991546495	44	3.014595021495923	4.0	0.8192601857583464	0.6230737136209374	-0.16670303596482805	0.5591052553064528	
Ascl1p	2	0.67	positive	46	79	2.109982713915298	28	2.9542782797231815	4.0	-0.5488341814584576	0.5930811970906416	-0.5518969813916637	0.4473717664113761	
Ascl1p	3	0.24	positive	524	10575	1.6097404826599984	208	3.318151291012003	67.0	-8.95946191055946	5.562507830440031e-05	-9.152708778821193	0.006882725843784484	
Ascl1p	3	0.26263157894736844	positive	498	8153	1.6730818936116463	211	3.6802910631754657	68.0	-5.4502562306151825	0.00045329395689405153	-6.043055596013467	0.02416881951046344	
Ascl1p	3	0.28526315789473683	positive	459	6326	1.777744393479471	190	3.365582419881746	50.0	-6.037424206432512	0.0029011781346289685	-5.688410493437843	0.03467538174677346	
