run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community	community_size	rank_betweenness	rank_outdegree	rank_local_betweenness	rank_local_outdegree
1	308	Evx2	0.02280130293159609	0.0003619254433586681	0.02931596091205212	0.008920397692193055	2	51	60.0	65.0	19.0	21.0
1	308	Lhx9	0.055374592833876225	0.003789572289284878	0.09771986970684039	0.10816248323433607	4	49	1.0	4.0	1.0	3.0
1	308	Esrrg	0.04560260586319218	0.0012667390517553383	0.06188925081433225	0.016116327095441866	4	49	35.0	19.0	9.0	7.0
1	308	Lhx4	0.042345276872964174	0.002799599753039109	0.06840390879478828	0.05512976091631006	1	74	6.0	12.0	6.0	5.0
1	308	Otp	0.05863192182410424	0.003725703093398054	0.07817589576547232	0.06266632603095526	1	74	4.0	9.0	1.0	3.0
1	308	Bhlhe23	0.05863192182410424	0.0014264120414723977	0.06514657980456026	0.017787571054480422	2	51	32.0	14.0	7.0	3.0
1	280	Evx2	0.021505376344086023	0.00028364405249993555	0.02867383512544803	0.005350558263066966	3	46	80.0	60.0	19.0	21.0
1	280	Lhx9	0.053763440860215055	0.002088651659317707	0.08243727598566308	0.0686418607049844	4	40	3.0	5.0	1.0	2.0
1	280	Esrrg	0.035842293906810034	0.0011087903870452027	0.05734767025089606	0.03292849591294706	4	40	17.0	16.0	10.0	7.0
1	280	Lhx4	0.017921146953405017	0.0014955777313632964	0.03942652329749104	0.04570537118692143	1	65	9.0	38.0	9.0	11.0
1	280	Otp	0.053763440860215055	0.005531059023748743	0.06810035842293907	0.03756994404476419	1	65	12.0	11.0	1.0	2.0
1	280	Bhlhe23	0.05017921146953405	0.001456898996931487	0.05734767025089606	0.022575487996699416	3	46	26.0	16.0	7.0	5.0
1	246	Evx2	0.02448979591836735	0.00018400802944128471	0.0326530612244898	0.008916025426564068	3	35	66.0	45.0	21.0	15.0
1	246	Lhx9	0.0489795918367347	0.00311140849782536	0.06122448979591837	0.05468384074941452	2	45	6.0	12.0	2.0	2.0
1	246	Esrrg	0.04081632653061225	0.002425560388089662	0.05714285714285715	0.03558046169287387	2	45	15.0	15.0	6.0	5.0
1	246	Lhx4	0.020408163265306124	0.0007360321177651389	0.0326530612244898	0.05685848109735698	0	64	4.0	45.0	14.0	7.0
1	246	Otp	0.0489795918367347	0.007360321177651389	0.06122448979591837	0.04330879892940783	0	64	9.0	12.0	1.0	2.0
1	246	Bhlhe23	0.0489795918367347	0.000819672131147541	0.05306122448979592	0.041585814653730346	3	35	12.0	18.0	12.0	4.0
1	224	Evx2	0.013452914798206279	0.00020199571769078495	0.017937219730941704	0.0023027511816749485	3	29	73.0	71.0	21.0	20.0
1	224	Lhx9	0.04932735426008968	0.0035955237748959723	0.04932735426008968	0.02040156748676928	1	49	24.0	17.0	3.0	3.0
