treatment	run	threshold	component	nodes	edges	sigma	dominating_size	alpha	xmin	exp_r	exp_p	logn_r	logn_p
Ngn2p	4	0.46578947368421053	positive	251	696	3.2248768176374494	136	3.081557270982767	9.0	-1.835682930582113	0.38606115405701447	-1.4295851594302764	0.2816075647222033	
Ngn2p	4	0.4842105263157895	positive	193	527	3.148052075451121	107	2.7339760974419054	7.0	-4.787660413223551	0.020436181821781394	-4.145930564329407	0.059590400398303094	
Ngn2p	4	0.5026315789473684	positive	150	398	3.5099050028395884	80	2.4019481941927223	5.0	-6.452658813290803	0.010583446195384073	-5.528893898800402	0.032904419699968185	
Ngn2p	4	0.5210526315789474	positive	142	325	2.8815740788177897	82	2.2979339270225667	4.0	-6.087152465421321	0.023895746286156486	-5.026891111898593	0.032282756612389385	
Ngn2p	4	0.5394736842105263	positive	114	257	2.111747722928853	67	11.500873600046734	15.0	-0.06061347804604589	0.5312742936807353	-0.06820180955111965	0.7117887621999575	
Ngn2p	4	0.5578947368421052	positive	105	218	2.1369349197670684	62	8.644188690465255	13.0	-0.10535851752674508	0.47681685685841624	-0.10947745168440792	0.68189243269917	
Ngn2p	4	0.5763157894736842	positive	50	83	4.596110013675733	30	13.039003338578437	10.0	-0.0781412037807323	0.5049435692795394	-0.4179392773584766	0.351673345729429	
Ngn2p	4	0.5947368421052632	positive	32	77	1.4123610202746895	19	5.668662732763869	9.0	-0.30734443251094035	0.2107344168268378	-0.394334755526613	0.4919528903931235	
Ngn2p	4	0.6131578947368421	positive	28	58	1.1706382978723406	16	3.797319897859877	6.0	-0.5905514970956763	0.2032174908657367	-0.6664374342706317	0.4514490946894111	
Ngn2p	4	0.631578947368421	positive	25	37	1.263157894736842	14	2.3714258988344605	2.0	-2.1823818912849338	0.05322014475831797	-2.0359947360227575	0.14041739941914727	
Ngn2p	4	0.65	positive	23	29	inf	14	2.71608070353781	2.0	-0.4738001295275107	0.5180912119718968	-0.4702596895376311	0.11491713447676193	
Ngn2p	5	0.3	positive	612	5575	2.8556862206675437	261	8.411396589011597	62.0	-0.7036047477829905	0.11507678668562103	-1.118602382480109	0.3766166164359054	
Ngn2p	5	0.31842105263157894	positive	575	4443	2.9720404778459346	265	8.537158695644528	53.0	-0.43452567795648056	0.3054164585790946	-0.5837941365842894	0.5028386082825692	
Ngn2p	5	0.3368421052631579	positive	536	3507	3.249233034176199	253	4.586205078789769	34.0	-4.111993159722956	6.311332332051796e-05	-6.073908523827969	0.02254902198576957	
Ngn2p	5	0.35526315789473684	positive	491	2748	3.503723757338494	242	4.747177299188202	30.0	-2.6434370728976027	0.010869327623249513	-2.939016125320744	0.10839277532008874	
Ngn2p	5	0.3736842105263158	positive	454	2166	3.313053766768859	227	7.7728219816062225	37.0	-0.5074184416627401	0.08288743558905665	-0.8774973328308318	0.33169594636987676	
Ngn2p	5	0.39210526315789473	positive	397	1705	3.581925071440152	201	5.811866044301219	28.0	-0.8458729296673209	0.14171475733349437	-0.9601060144179221	0.3675148400082884	
Ngn2p	5	0.4105263157894737	positive	360	1333	3.406445618174447	192	4.35005221245304	20.0	-1.722495735476423	0.07262328222423989	-1.6814574974654244	0.20991376291700614	
Ngn2p	5	0.42894736842105263	positive	315	1053	3.393102582511792	167	2.5837531474894773	8.0	-7.668523554756998	0.012906217770128297	-6.529422957009555	0.018900529639269154	
Ngn2p	5	0.4473684210526316	positive	282	864	3.029341644806912	149	2.530501545997761	7.0	-6.550018146638083	0.03063469945082534	-5.555104624594029	0.026967364999935167	
Ngn2p	5	0.46578947368421053	positive	242	687	2.705803344281166	135	2.6060189294921416	7.0	-5.008880206556938	0.056764770485714634	-4.103985312877125	0.058472130901328724	
Ngn2p	5	0.4842105263157895	positive	204	543	2.8515414706536504	115	2.1787594893060014	4.0	-8.25033303996512	0.032366905203362745	-7.295397370583212	0.012127355706947276	
Ngn2p	5	0.5026315789473684	positive	171	433	2.9177250134073045	97	1.8546849832798635	2.0	-9.608321029592348	0.10782038120940395	-10.945693021934458	0.001640393456154565	
Ngn2p	5	0.5210526315789474	positive	134	311	1.9945251434130633	74	1.886373803162964	2.0	-10.17512645401316	0.03503540980682543	-9.991015628033168	0.0025976331012562684	
Ngn2p	5	0.5394736842105263	positive	108	239	1.8195343760456049	67	1.929137018802253	2.0	-6.423290272905931	0.13234978953410131	-6.370551483502243	0.014152974225815596	
Ngn2p	5	0.5578947368421052	positive	90	197	1.9493595534917043	55	1.9027491091310003	2.0	-7.852853862640597	0.03856035932105259	-6.737938834563661	0.01502496408312354	
Ngn2p	5	0.5763157894736842	positive	57	141	1.368408203125	32	3.7652491596746973	8.0	-0.7984260762538056	0.3319820988612837	-0.623609682824481	0.5147006620832273	
Ngn2p	5	0.5947368421052632	positive	54	116	1.3488848151542927	28	10.890417996781386	12.0	-0.09362879554909531	0.001137030946623696	-0.3513684146706755	0.5333617948774088	
Ngn2p	5	0.6131578947368421	positive	29	65	1.252772466539197	16	12.183509884882527	10.0	-0.13772481268108988	0.1697401799206505	-0.9605535981117688	0.24594405846668677	
Ngn2p	5	0.631578947368421	positive	27	52	1.0544421003281763	15	6.9253426130687075	7.0	-0.21488716365078164	0.12792545382604878	-0.34990139303277945	0.5037618643500963	
Ngn2p	5	0.65	positive	23	45	1.1887442572741194	11	5.437295291724201	6.0	-0.17167390198413957	0.42240632168996783	-0.16404210444439382	0.5945252405145423	
