run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community
2	510	Nrxn2	0.003929273084479371	3.093915814550686e-05	0.003929273084479371	7.348050059557879e-05	2
2	510	Mras	0.03339882121807465	0.00017016536980028773	0.04911591355599214	0.0014734774066797642	2
2	510	Thsd7a	0.0019646365422396855	1.546957907275343e-05	0.0019646365422396855	4.254134245007193e-05	2
2	510	Scg3	0.0019646365422396855	0.0	0.009823182711198428	0.00019336973840941788	3
2	510	Sv2a	0.023575638506876224	0.0006033135838373838	0.027504911591355596	0.0017906037776712095	1
2	510	Cacng5	0.01768172888015717	0.0002629828442368083	0.03929273084479371	0.0025138065993224323	1
2	510	Pcdh9	0.03929273084479371	0.001167953219992884	0.045186640471512766	0.006261312129696951	1
2	510	Rph3a	0.0	0.0	0.0	0.0	1
2	510	Ppp3ca	0.013752455795677798	9.281747443652058e-05	0.015717092337917484	0.00025138065993224323	2
2	510	Lhfpl4	0.011787819253438112	0.00010441965874108565	0.015717092337917484	0.00018950234364122952	1
2	510	Rprm	0.0019646365422396855	0.0	0.0019646365422396855	0.0	2
2	510	Atp1a3	0.009823182711198428	0.0002359110808594898	0.009823182711198428	0.00045635258264622617	1
2	510	Nav3	0.0	0.0	0.0	0.0	2
2	510	Tmem35a	0.021611001964636542	0.0006071809786055721	0.03929273084479371	0.0018911560416441067	1
2	510	Sobp	0.0	0.0	0.0	0.0	2
2	510	Ank3	0.0	0.0	0.0	0.0	3
2	510	Gcnt1	0.0019646365422396855	4.254134245007193e-05	0.0019646365422396855	6.187831629101372e-05	0
2	510	Tanc2	0.0019646365422396855	8.12152901319555e-05	0.0019646365422396855	0.00048342434602354465	3
2	510	Syt11	0.021611001964636542	8.508268490014387e-05	0.029469548133595282	0.00036740250297789394	2
2	510	Smim18	0.019646365422396856	0.00028618721284593844	0.03339882121807465	0.00266076760051359	1
2	510	Slc35f1	0.03929273084479371	0.000529833083241805	0.03929273084479371	0.0007850811379422365	1
2	510	Msn	0.0019646365422396855	4.254134245007193e-05	0.0019646365422396855	7.348050059557879e-05	0
2	510	Plekhd1	0.027504911591355596	0.000854694243769627	0.029469548133595282	0.0035077270547468403	1
2	510	Nfil3	0.03732809430255402	0.0008508268490014387	0.03929273084479371	0.0018099407515121512	1
2	510	Masp1	0.0	0.0	0.0	0.0	0
2	510	Rhobtb2	0.023575638506876224	0.0007193354268830344	0.03929273084479371	0.007622635088099253	1
2	510	Lsamp	0.015717092337917484	7.348050059557879e-05	0.01768172888015717	0.0003906068715870241	1
2	510	Klc1	0.019646365422396856	0.00018950234364122952	0.027504911591355596	0.0011950249833702024	1
2	510	Gpr139	0.003929273084479371	1.1602184304565072e-05	0.003929273084479371	0.0	1
2	510	Tspoap1	0.03339882121807465	0.0008778986123787571	0.043222003929273084	0.00214253670157635	1
2	510	Timp2	0.009823182711198428	0.00021657410701854803	0.011787819253438112	0.00032099376575963365	1
2	510	Crtac1	0.0	0.0	0.0	0.0	2
2	510	Rps27l	0.0019646365422396855	0.0	0.0019646365422396855	0.0	0
2	510	Brsk2	0.0019646365422396855	0.0	0.0019646365422396855	3.867394768188357e-06	0
2	510	Pou4f1	0.0	0.0	0.0	0.0	2
2	510	Tpd52	0.0019646365422396855	2.3204368609130144e-05	0.0019646365422396855	2.3204368609130144e-05	0
2	510	Cdh7	0.007858546168958742	6.574571105920208e-05	0.015717092337917484	0.0005569048466191234	2
2	510	Tbc1d16	0.0	0.0	0.0019646365422396855	0.00037900468728245903	2
2	510	Zfp697	0.0	0.0	0.0	0.0	2
2	510	Pbx3	0.04715127701375245	0.0005607722413873118	0.05697445972495088	0.0033259595006419874	1
2	510	Dpysl3	0.0	0.0	0.0	0.0	3
2	510	Dner	0.009823182711198428	0.00013922621165478086	0.011787819253438112	0.000324861160527822	1
2	510	C1ql4	0.007858546168958742	2.3204368609130144e-05	0.007858546168958742	3.093915814550686e-05	1
2	510	Peg10	0.013752455795677798	0.00028618721284593844	0.015717092337917484	0.0005917113995328187	0
2	510	Tbc1d9	0.003929273084479371	3.093915814550686e-05	0.003929273084479371	0.0001276240273502158	1
2	510	Shank1	0.011787819253438112	5.4143526754637006e-05	0.011787819253438112	4.254134245007193e-05	1
2	510	Ntm	0.0	0.0	0.0	0.0	1
2	510	Trim67	0.03536345776031434	0.00036740250297789394	0.05500982318271119	0.0038596599786519807	2
2	510	Ptprd	0.003929273084479371	7.734789536376715e-06	0.003929273084479371	0.00017016536980028773	1
2	510	Bnip3	0.013752455795677798	0.00017790015933666443	0.013752455795677798	0.000324861160527822	1
2	510	Pbx1	0.0	0.0	0.0	0.0	1
2	510	Trim2	0.0	0.0	0.0	0.0	3
2	510	Inka2	0.009823182711198428	0.00022430889655492472	0.009823182711198428	0.00045635258264622617	0
2	510	Fam117b	0.007858546168958742	0.00019336973840941788	0.015717092337917484	0.0026762371795863433	1
2	510	Zfhx3	0.005893909626719056	8.12152901319555e-05	0.005893909626719056	0.0014425382485342573	1
2	510	Clmp	0.0	0.0	0.0	0.0	1
2	510	Celf4	0.0	0.0	0.0	0.0	2
2	510	Pmaip1	0.0	0.0	0.0	0.0	0
2	510	Pfkp	0.013752455795677798	0.0003132589762232569	0.023575638506876224	0.0022894977027675075	3
2	510	Efr3b	0.009823182711198428	8.508268490014387e-05	0.011787819253438112	0.004180653744411614	3
2	510	Tbc1d30	0.0019646365422396855	3.867394768188357e-05	0.0019646365422396855	4.254134245007193e-05	1
2	510	Eif4e3	0.0	0.0	0.0	0.0	0
2	510	Chl1	0.011787819253438112	0.0002668502390049967	0.015717092337917484	0.0010983401141654934	1
2	510	Ckb	0.0	0.0	0.0	0.0	0
2	510	Epha5	0.0019646365422396855	1.9336973840941785e-05	0.015717092337917484	0.001999443095153381	2
2	510	Nedd4l	0.003929273084479371	7.734789536376715e-06	0.005893909626719056	0.00011602184304565072	3
2	510	Ctsc	0.0	0.0	0.0	0.0	0
2	510	Dusp14	0.0	0.0	0.0	0.0	0
2	510	A230077H06Rik	0.009823182711198428	0.00012375663258202744	0.009823182711198428	0.0002784524233095617	1
2	510	Mxi1	0.0	0.0	0.003929273084479371	0.0006883962687375276	3
2	510	Mtus1	0.0019646365422396855	0.0005453026623145583	0.005893909626719056	8.508268490014387e-05	1
2	510	Pou3f4	0.0	0.0	0.0	0.0	3
2	510	Synpo2l	0.0	0.0	0.0	0.0	0
2	510	Slc35d2	0.019646365422396856	0.00015469579072753428	0.019646365422396856	0.00023977847562767815	0
2	510	Adgre5	0.0	0.0	0.0	0.0	0
2	510	Sox11	0.0	0.0	0.0	0.0	3
2	510	Rbfox3	0.0	0.0	0.0	0.0	1
2	510	Gprasp2	0.005893909626719056	1.1602184304565072e-05	0.013752455795677798	0.0011640858252246955	3
2	510	Dpf1	0.03339882121807465	0.0013342511950249832	0.05697445972495088	0.0067602060547932484	1
2	510	Id2	0.011787819253438112	0.00015082839595934595	0.011787819253438112	0.00016629797503209937	0
2	510	Fam135b	0.023575638506876224	0.00023977847562767815	0.027504911591355596	0.001017124824033538	1
2	510	Rgmb	0.003929273084479371	1.9336973840941785e-05	0.003929273084479371	6.187831629101372e-05	0
2	510	Pnoc	0.007858546168958742	2.3204368609130144e-05	0.007858546168958742	0.0001353588168865925	1
2	510	Amer2	0.0	0.0	0.0	0.0	2
2	510	D130009I18Rik	0.0	0.0	0.0019646365422396855	1.9336973840941785e-05	2
2	510	Kif26b	0.015717092337917484	3.4806552913695215e-05	0.015717092337917484	5.4143526754637006e-05	1
2	510	Etv1	0.0019646365422396855	1.9336973840941785e-05	0.0019646365422396855	1.9336973840941785e-05	0
2	510	Hs6st1	0.0	0.0	0.0	0.0	2
2	510	Sh3bp5	0.005893909626719056	9.281747443652058e-05	0.013752455795677798	0.0009243073495970174	1
2	510	Pcsk2	0.0	0.0	0.0	0.0	2
2	510	Gm45768	0.0	0.0	0.0	0.0	2
2	510	Smarcd2	0.0019646365422396855	1.546957907275343e-05	0.0019646365422396855	1.546957907275343e-05	0
2	510	Slc17a6	0.0	0.0	0.0	0.0	2
2	510	3110039I08Rik	0.0	0.0	0.0	0.0	1
2	510	Epha3	0.0019646365422396855	0.0	0.003929273084479371	8.895007966833221e-05	1
2	510	Snhg11	0.0019646365422396855	3.4806552913695215e-05	0.0019646365422396855	2.7071763377318503e-05	1
2	510	A230103L15Rik	0.007858546168958742	4.254134245007193e-05	0.011787819253438112	0.0007928159274786132	1
2	510	Syn1	0.005893909626719056	7.348050059557879e-05	0.009823182711198428	0.0012143619572111443	1
2	510	Cttnbp2	0.0	0.0	0.0	0.0	2
2	510	Tfap2a	0.005893909626719056	0.00016629797503209937	0.005893909626719056	0.0005453026623145583	1
2	510	Iqgap1	0.0	0.0	0.0	0.0	0
2	510	Psen2	0.0	0.0	0.0	0.0	0
2	510	Atp1b1	0.009823182711198428	1.9336973840941785e-05	0.009823182711198428	1.9336973840941785e-05	1
2	510	Samd5	0.0	0.0	0.0	0.0	2
2	510	Hrk	0.0019646365422396855	1.546957907275343e-05	0.0019646365422396855	3.4806552913695215e-05	1
2	510	Adora1	0.0	0.0	0.0	0.0	1
2	510	Meis1	0.0	0.0	0.0	0.0	3
2	510	Neurl1b	0.0	0.0	0.0	0.0	1
2	510	Tenm2	0.0	0.0	0.0	0.0	1
2	510	Ank1	0.0	0.0	0.0	0.0	1
2	510	Mtus2	0.0	0.0	0.0	0.0	1
2	510	Scube3	0.003929273084479371	0.0	0.003929273084479371	3.093915814550686e-05	2
2	510	Kif21b	0.0019646365422396855	4.254134245007193e-05	0.0019646365422396855	7.348050059557879e-05	1
2	510	Aff3	0.0	0.0	0.0	0.0	3
2	510	Lmo3	0.0	0.0	0.0	0.0	1
2	510	Zfp30	0.0019646365422396855	1.1602184304565072e-05	0.0019646365422396855	1.1602184304565072e-05	1
2	510	Cntnap5a	0.0	0.0	0.0	0.0	2
2	510	Spint1	0.0	0.0	0.0	0.0	0
2	510	Nr6a1	0.0	0.0	0.0	0.0	0
2	510	Anxa4	0.0	0.0	0.0	0.0	0
2	510	Nrxn3	0.005893909626719056	2.7071763377318503e-05	0.005893909626719056	2.3204368609130144e-05	1
2	510	Grb7	0.0	0.0	0.0	0.0	0
2	510	Tnrc18	0.0019646365422396855	9.281747443652058e-05	0.0019646365422396855	0.00037900468728245903	1
2	510	Syt2	0.0	0.0	0.0	0.0	2
2	510	Kcnk12	0.0019646365422396855	0.0	0.0019646365422396855	0.0	0
2	510	Parp12	0.0	0.0	0.0	0.0	0
2	510	Kcnb2	0.0	0.0	0.0	0.0	1
2	510	Tubb6	0.0	0.0	0.0	0.0	0
2	510	Actn1	0.0019646365422396855	8.895007966833221e-05	0.0019646365422396855	8.895007966833221e-05	0
2	510	2510009E07Rik	0.0	0.0	0.0	0.0	2
2	510	Cbx4	0.0	0.0	0.0019646365422396855	0.0007966833222468016	1
2	510	Marc2	0.005893909626719056	7.734789536376715e-06	0.005893909626719056	6.187831629101372e-05	0
2	510	Stra8	0.0	0.0	0.0	0.0	0
2	510	Csrnp3	0.0	0.0	0.0	0.0	1
2	510	Rack1	0.0	0.0	0.0	0.0	0
2	510	St6galnac5	0.0	0.0	0.0	0.0	2
2	510	Bmp7	0.0	0.0	0.0	0.0	0
2	510	Arl4c	0.0	0.0	0.0	0.0	1
2	510	Gabrg2	0.0019646365422396855	1.1602184304565072e-05	0.0019646365422396855	6.961310582739043e-05	1
2	510	Vangl2	0.0	0.0	0.0	0.0	1
2	510	Frmd8	0.0	0.0	0.0	0.0	0
2	510	Ppp1r17	0.0	0.0	0.0	0.0	0
2	510	Cebpa	0.0	0.0	0.0	0.0	0
2	510	Flnc	0.0	0.0	0.0	0.0	0
2	510	Pou2f2	0.0	0.0	0.0	0.0	3
2	510	Gjb5	0.0	0.0	0.0	0.0	0
2	510	Fzd8	0.0	0.0	0.0	0.0	1
2	510	Hspb1	0.0	0.0	0.0	0.0	0
2	510	Rbfox1	0.0	0.0	0.0	0.0	1
2	510	Phlda2	0.0	0.0	0.0	0.0	0
2	510	Bcl11b	0.005893909626719056	7.734789536376715e-06	0.005893909626719056	7.734789536376715e-06	1
2	510	Zic5	0.0	0.0	0.0	0.0	0
2	510	Mllt3	0.0	0.0	0.0	0.0	1
2	510	Zfhx4	0.0	0.0	0.0	0.0	2
2	510	Mt2	0.0	0.0	0.0	0.0	0
2	510	Sox1	0.0	0.0	0.0	0.0	0
