geneid	Ascl1_D3_GFPpos_1	Ascl1_D3_GFPpos_2	Ascl1_D3_GFPneg_1	Ascl1_D3_GFPneg_2	Ascl1_D4_GFPpos_1	Ascl1_D4_GFPpos_2	Ascl1_D4_GFPneg_1	Ascl1_D4_GFPneg_2	Ascl1_D6_GFPpos_1	Ascl1_D6_GFPpos_2	Ascl1_D6_GFPneg_1	Ascl1_D6_GFPneg_2	Ngn2_D3_GFPpos_1	Ngn2_D3_GFPpos_2	Ngn2_D3_GFPneg_1	Ngn2_D3_GFPneg_2	Ngn2_D4_GFPpos_1	Ngn2_D4_GFPpos_2	Ngn2_D4_GFPneg_1	Ngn2_D4_GFPneg_2	Ngn2_D6_GFPpos_1	Ngn2_D6_GFPpos_2	Ngn2_D6_GFPneg_1	Ngn2_D6_GFPneg_2
Olig2	0.0	0.0	2.42687906712262	3.19391149214982	0.0	0.0	0.976973706706631	2.03122603788033	0.0	0.0	1.3195449681132	0.88695965309234	86.0481864913223	108.529375284244	58.7527410687519	58.6491337343671	35.7472629512334	39.721308538222	20.1380704468062	26.3129066418072	0.0	0.0	9.77388125711661	7.77647872780696
Arhgap29	21.0305100124005	26.9601935135689	45.3639702546767	55.4371780423148	8.48180326045364	7.69802127057155	46.5039484392357	25.3903254735042	6.99848560547593	4.04698277199434	18.4736295535847	21.2870316742162	8.3829178816761	7.75209823458883	35.4733530981144	41.745889950663	3.6830513343695	3.80310400897871	16.3022475045574	29.5348952101918	1.20351208897806	1.48306671501464	21.6153143186233	9.11306100914878
Srrm3	372.540463076809	352.71590448817	130.118054598805	166.767807197251	300.982847128098	287.455379640123	163.154609020007	133.045305481162	200.234449267783	151.98668632601	72.5749732462258	58.5393371040945	255.678995391121	179.590275767975	85.0410295253903	79.1379140782507	308.293061694576	342.701927920192	30.6865835379905	46.1818361468453	206.402323259737	233.212240936052	151.495159485307	149.697215510284
Pik3cd	50.3230061011012	80.8805805407066	23.5220586505731	18.7071958825918	135.466514931245	160.53190698387	39.6651324922892	51.7962639659485	92.9243366504859	93.5302685083136	36.9472591071695	29.2696685520472	31.8057766687123	38.7604911729441	30.2473680434815	27.4037437099444	66.7282241756356	63.3850668163118	10.5485130911842	11.276959989346	86.051114361931	54.5027017767881	13.9089848658967	21.1423015412252
Tbc1d16	39.8077510949009	44.0296651464202	12.1343953356131	14.3726017146742	60.5843090032403	64.5882760262589	22.6657899955938	29.4527775492648	87.8698748243088	76.4430079154486	22.4322644579243	17.7391930618468	20.4641818876211	36.8224666142969	19.9537611176893	23.8182071497648	31.8475615383715	41.8341440987658	28.7686720668661	30.6088913996533	81.2370660060188	68.9626022481808	29.1336845164053	57.5945455778203
Cbx4	16.5239721526004	12.7622217815711	4.10702611359213	6.38782298429964	29.0804683215553	39.2411328182794	8.59736861901836	7.10929113258117	54.4326658203683	59.8054120750275	15.8345396173584	9.75655618401574	19.4779562544827	16.7962128416091	7.91815917368625	9.9882804176433	48.9629177392651	37.1859058655696	14.384336033433	11.276959989346	46.9369714701442	58.2103685643247	26.314295692237	27.7037054678123
Negr1	9.01307571960021	12.2836384647622	0.560049015489836	2.28136535153559	33.6848758058016	50.8820430323144	0.976973706706631	4.06245207576067	190.319927993359	51.261781778595	1.3195449681132	0.88695965309234	0.986225633138365	1.93802455864721	0.791815917368625	1.79276828008982	14.9488554159703	16.4801173722411	0.0	1.07399618946152	74.6177495166395	51.1658016680051	6.76653317800381	3.03768700304959
Pclaf	54.0784543176013	73.5423030163033	374.6727913627	315.740964652525	2.42337236012961	1.50205293084323	309.505270284661	228.512929261538	1.74962140136898	4.04698277199434	124.03722700264	180.052809577745	6.90357943196855	65.892834994005	424.888421260004	444.350423707977	12.5657045525548	15.6349831480236	469.888310425479	552.571039477952	2.1061461557116	2.59536675127562	300.922767166225	295.141669216299
Nsmce4a	45.065378598001	44.1891929186898	82.7005712873324	99.4675293269516	21.8103512411665	32.2941380131294	84.2151335181116	89.3739456667347	19.2458354150588	22.033572869747	104.244052480942	87.8090056561417	50.5440636983412	40.0525075453756	87.4164772774962	76.8329262895638	27.5145599685251	35.0730703050258	101.649307969593	116.528586556575	27.0790220020063	16.6845005439147	70.2967613492618	92.2241774125857
Cacng5	7.51089643300018	4.94536094035879	0.0	0.228136535153559	30.0498172656072	13.7062329939445	1.56315793073061	2.03122603788033	39.463682719767	34.17452118573	2.63908993622639	1.77391930618468	8.62947428996069	9.69012279323604	5.0676218711592	2.56109754298546	26.6479596545558	28.3119965112859	3.83582294224881	0.53699809473076	25.5746318907837	22.9875340827269	1.69163329450095	3.15919448317158
Tlx3	91.6329364826021	167.344633110851	79.3402771943934	68.2128240109141	186.842008965993	223.993643311997	66.2388173147096	95.4676237803757	113.530988711054	98.4765807851956	30.3495342666035	31.9305475113243	19.4779562544827	11.6281473518832	3.8007164033694	2.04887803438837	136.706199528656	100.570972681881	0.958955735562202	1.07399618946152	55.0606780707461	32.6274677303221	127.060456342516	87.7284006480723
