Gene stable ID,Gene name,NCBI gene (formerly Entrezgene) ID
ENSMUSG00000047462,Gpr141b,319293
ENSMUSG00000039956,Mrap,77037
ENSMUSG00000053101,Gpr141,353346
ENSMUSG00000073131,Vma21,67048
ENSMUSG00000039929,Urb1,207932
ENSMUSG00000032656,Marchf3,320253
ENSMUSG00000056632,Dsg3,13512
ENSMUSG00000021322,Aoah,27052
ENSMUSG00000073255,Gm14632,100042144
ENSMUSG00000069049,Eif2s3y,26908
ENSMUSG00000042350,Arel1,68497
ENSMUSG00000041380,Htr2c,15560
ENSMUSG00000018830,Myh11,17880
ENSMUSG00000095847,Gm5451,108168114
ENSMUSG00000068457,Uty,22290
ENSMUSG00000024592,C330018D20Rik,77422
ENSMUSG00000042869,Or2p2,258528
ENSMUSG00000021666,Gfm2,320806
ENSMUSG00000044393,Dsg2,13511
ENSMUSG00000056537,Rlim,19820
ENSMUSG00000077767,Snora35,100303736
ENSMUSG00000085595,Gm16090,102633478
ENSMUSG00000092879,Mir3552,104797221
ENSMUSG00000061808,Ttr,22139
ENSMUSG00000076458,Mir764,791081
ENSMUSG00000024878,Zng1,226043
ENSMUSG00000064876,Gm23378,115489176
ENSMUSG00000093039,Mir1912,100526529
ENSMUSG00000056124,B4galt6,56386
ENSMUSG00000018707,Dync1h1,13424
ENSMUSG00000077199,Gm22266,115486090
ENSMUSG00000093122,Mir1264,100526460
ENSMUSG00000080331,Mir1298,100526462
ENSMUSG00000065450,Mir448,723914
ENSMUSG00000094759,Gm10487,100039467
ENSMUSG00000024593,Megf10,70417
ENSMUSG00000119558,Mir3084-1,100526521
ENSMUSG00000025076,Casp7,12369
ENSMUSG00000033361,Prrg3,208748
ENSMUSG00000046449,Nexmif,245555
ENSMUSG00000052085,Dock8,76088
ENSMUSG00000076286,Mir672,751535
ENSMUSG00000031289,Il13ra2,16165
ENSMUSG00000033382,Trappc8,75964
ENSMUSG00000056508,1700001K19Rik,66323
ENSMUSG00000021243,Fcf1,73736
ENSMUSG00000005864,Cnga2,12789
ENSMUSG00000069045,Ddx3y,26900
ENSMUSG00000033343,Magea4,17140
ENSMUSG00000065634,Gm24252,115486082
ENSMUSG00000032702,Kank1,107351
ENSMUSG00000031333,Abcb7,11306
ENSMUSG00000021270,Hsp90aa1,15519
ENSMUSG00000069044,Usp9y,107868
ENSMUSG00000064843,Gm26207,115489069
ENSMUSG00000024837,Dmrt1,50796
ENSMUSG00000033107,Rnf125,67664
ENSMUSG00000073016,Uprt,331487
ENSMUSG00000042372,Dmrt3,240590
ENSMUSG00000024317,Rnf138,56515
ENSMUSG00000048138,Dmrt2,226049
ENSMUSG00000031340,Gabre,14404
ENSMUSG00000022677,Cep20,66086
ENSMUSG00000077793,Gm25565,115489306
ENSMUSG00000036061,Smug1,71726
ENSMUSG00000025078,Nhlrc2,66866
ENSMUSG00000000103,Zfy2,22768
ENSMUSG00000065542,Mir224,723894
ENSMUSG00000070138,Mir452,723919
ENSMUSG00000043453,Magea10,236852
ENSMUSG00000039903,Eva1c,70967
ENSMUSG00000068114,Ccdc134,76457
ENSMUSG00000033906,Zdhhc15,108672
ENSMUSG00000020593,Lpin1,14245
ENSMUSG00000035283,Adrb1,11554
ENSMUSG00000024313,Mep1b,17288
ENSMUSG00000035173,Ccdc186,213993
ENSMUSG00000031224,Magee2,272790
ENSMUSG00000094881,H2al2c,547210
ENSMUSG00000081703,Gm6285,622098
ENSMUSG00000088960,Gm22090,115489197
ENSMUSG00000069036,Sry,21674
ENSMUSG00000031343,Gabra3,14396
ENSMUSG00000021665,Hexb,15212
ENSMUSG00000095573,H2al2b,100042840
ENSMUSG00000042680,Garem1,381126
ENSMUSG00000102053,Rbmyf1,100042849
ENSMUSG00000022155,Mroh2b,223825
ENSMUSG00000094658,Rbmy,19657
ENSMUSG00000119907,Gm22886,115488969
ENSMUSG00000024598,Fbn2,14119
ENSMUSG00000024855,Pacs1,107975
ENSMUSG00000095852,Rbmyf2,100042874
