geneid	Ascl1_ESC_1	Ascl1_ESC_2	Ascl1_D2_1	Ascl1_D2_2	Ascl1_D3_GFPpos_1	Ascl1_D3_GFPpos_2	Ascl1_D3_GFPneg_1	Ascl1_D3_GFPneg_2	Ascl1_D4_GFPpos_1	Ascl1_D4_GFPpos_2	Ascl1_D4_GFPneg_1	Ascl1_D4_GFPneg_2	Ascl1_D6_GFPpos_1	Ascl1_D6_GFPpos_2	Ascl1_D6_GFPneg_1	Ascl1_D6_GFPneg_2	Ngn2_ESC_1	Ngn2_ESC_2	Ngn2_D2_combi_1	Ngn2_D2_combi_2	Ngn2_D3_GFPpos_1	Ngn2_D3_GFPpos_2	Ngn2_D3_GFPneg_1	Ngn2_D3_GFPneg_2	Ngn2_D4_GFPpos_1	Ngn2_D4_GFPpos_2	Ngn2_D4_GFPneg_1	Ngn2_D4_GFPneg_2	Ngn2_D6_GFPpos_1	Ngn2_D6_GFPpos_2	Ngn2_D6_GFPneg_1	Ngn2_D6_GFPneg_2
Cbx8	0.0	0.0	7.2678661146527	7.02098703648219	21.7815996557005	9.09308301936938	8.02736922202098	13.0037825037528	28.8381310855424	30.7920850822862	17.390131979378	10.1561301894017	54.2382634424384	36.4228449479491	9.23681477679237	9.75655618401574	0.0	0.246809463217801	3.86937422545339	6.25140801388831	18.4917306213443	31.0083929383553	16.3114078977937	15.8788047665099	39.2136642071105	40.9890098745483	16.3022475045574	15.572944747192	44.2290692699436	38.9305012691343	29.8855215361835	21.1423015412252
Cpeb1	15.3365106493663	14.3937232898294	39.8560399835793	51.269533243149	48.8208268145011	64.6087477692035	31.5494278725941	34.2204802730338	58.4032738791236	41.6819688308996	18.562500427426	15.2341952841025	66.8744180078811	54.4094350457017	19.7931745216979	12.4174351432928	18.1834172908565	14.4383535982413	7.30881798141196	14.3550850689287	42.1611458166651	43.2825484764543	19.1619452003207	17.6715730465997	28.164510204002	37.6084729776783	5.75373441337321	6.44397713676912	30.3886802466959	29.2905676215392	10.9016367867839	9.23456848927077
Pfkfb4	0.613460425974651	0.0	5.39228776248426	4.24524797554737	14.2707032227003	9.73119410844794	7.09395419620459	2.7376384218427	13.8132224527388	15.2082859247877	3.51710534414387	21.3278733977435	21.7730663281473	13.0402778208706	14.5149946492452	7.09567722473872	24.6314376067631	14.4383535982413	12.8979140848446	15.5127532196488	30.8195510355739	21.3182701451193	17.5783133655835	14.8543657493157	15.382155572955	42.2567112108745	35.4813622158015	27.9239009259995	22.8667296905831	16.6845005439147	32.5169511054072	57.5945455778203
March8	20.2441940571635	20.9363247852064	55.798455977011	61.8826531820175	119.423253284703	88.6974413819189	78.406862168577	102.889577354255	94.7538592810678	72.6618105295413	73.66381748568	102.576914912957	93.8963485401353	123.208142169605	62.0186135013202	56.7654177979098	17.667575665584	14.3149488666324	14.8326011975713	22.6902957541131	103.553691479528	86.5650969529086	41.0160645196948	38.928682653379	56.3290204080041	68.8784392737255	57.5373441337321	35.4418742522302	47.5387275146332	68.9626022481808	44.7343026768029	65.9785617062372
St8sia2	0.0	0.0	5.39228776248426	9.14361102425588	81.1176814764019	40.5200541564881	13.6278593769193	12.3193728982922	127.954060614843	108.523324253423	21.6888162888872	42.655746795487	154.35548807633	286.43644730671	42.2254389796223	39.026224736063	0.0	0.370214194826701	13.3278445543394	20.027659007457	161.741003834692	133.077686360442	74.5890594161244	48.6608533167238	123.923844897609	172.407381740368	48.9067425136723	37.5898666311532	205.800567215248	222.83077393095	67.289413270149	119.198837999666
Nrp1	6.13460425974651	10.4681623926032	2.5789202342316	4.73508428041822	211.056189767305	206.588465089182	33.4162579242269	14.8288747849813	144.675329899738	219.111971286756	22.0796057715699	29.4527775492648	85.7314486670801	83.6376439545497	7.91726980867918	11.5304754902004	1.41856446949945	4.31916560631151	5.80406133818008	4.28337215766421	153.851198769585	87.8571133253401	24.3879302549536	18.4399023094953	195.635020878568	193.113170233697	16.3022475045574	9.12896761042292	24.6719978240501	29.6613343002928	26.5022549471816	8.50552360853887
Homer2	31.8999421506818	31.4044871778096	332.680710215877	332.272293470727	215.562727627105	300.07173963919	464.6539998514	444.638107014286	290.804683215553	359.929433553309	340.182244675249	235.622220394119	483.284311533699	289.584100573817	167.582210950376	122.400432126743	34.1745076743048	37.2682289458879	79.1072063870471	68.6497213376994	361.698250953495	288.765659238434	133.658526851824	122.932682063302	353.789578177964	314.812498521015	60.4142113404187	94.5116646726137	370.982601427486	305.88250997177	193.973951102776	119.806375400276
Pdgfa	51.5306757818707	45.798210467639	56.0329032710321	46.2078914261502	61.5893507506014	31.2674433648491	97.2618456900681	97.186163975416	15.9942575768554	21.404254264516	109.03026566846	116.795497178119	11.0809355420035	19.3355843550841	244.115819100941	146.348342760236	55.3240143104784	41.0937756257638	19.9917668315092	14.3550850689287	17.9986178047752	18.7342374002563	25.338109355796	24.842646166959	11.0491540031085	13.5221475874798	35.4813622158015	23.6279161681534	6.61931648937931	7.04456689631955	18.795925494455	24.9090334250067
Cplx2	0.613460425974651	0.0	51.8128519786531	99.4367698887827	94.6372950558022	65.8849699473606	86.8075974009245	80.0759238388991	42.1666790662552	31.167598314997	60.9631592984938	73.124137363692	24.105894863306	40.9194924723872	22.4322644579243	31.9305475113243	0.0	0.617023658044501	168.53274404197	160.684339319944	26.8746485030204	58.786744945632	117.980571687925	118.322706485928	43.9799659339417	70.5687077221604	99.731396498469	33.2938818733071	30.0878022244514	39.6720346266417	29.5096030262944	55.5289184157466
Cwf19l2	75.455632394882	75.8941773463732	75.9609232628218	65.3115073161134	53.3273646743012	73.5423030163033	84.9407673492917	52.6995396204721	41.9243418302423	54.8249319757779	74.0546069683627	62.9680071742904	41.0189017432061	36.4228449479491	64.6577034375466	56.7654177979098	175.257192186341	168.941077572585	115.866261528854	122.481290346182	118.593632384888	85.9190887666929	106.420059294343	111.151633365569	70.8445756669898	74.3718117311391	102.608263705156	113.30659798819	88.1572605176426	83.4225027195736	109.392286377728	107.898642348322
